signal id;x;y;time;signal state
113;-420.0;-800.0;22547.0;GREEN
414;-400.0;-780.0;22547.0;RED
317;220.0;-800.0;22547.0;GREEN
417;200.0;-780.0;22547.0;RED
119;780.0;-800.0;22547.0;RED
320;820.0;-800.0;22547.0;GREEN
323;-780.0;-600.0;22547.0;GREEN
423;-800.0;-580.0;22547.0;RED
326;-180.0;-600.0;22547.0;GREEN
426;-200.0;-580.0;22547.0;RED
128;380.0;-600.0;22547.0;GREEN
429;400.0;-580.0;22547.0;RED
225;-400.0;-420.0;22547.0;GREEN
436;-400.0;-380.0;22547.0;RED
138;180.0;-400.0;22547.0;GREEN
439;200.0;-380.0;22547.0;RED
141;780.0;-400.0;22547.0;RED
342;820.0;-400.0;22547.0;GREEN
344;-780.0;-200.0;22547.0;GREEN
455;-800.0;-180.0;22547.0;RED
146;-220.0;-200.0;22547.0;GREEN
458;-200.0;-180.0;22547.0;RED
350;420.0;-200.0;22547.0;GREEN
461;400.0;-180.0;22547.0;RED
356;-380.0;0.0;22547.0;GREEN
467;-400.0;20.0;22547.0;RED
260;200.0;-20.0;22547.0;GREEN
470;200.0;20.0;22547.0;RED
263;800.0;-20.0;22547.0;GREEN
362;820.0;0.0;22547.0;RED
163;-820.0;200.0;22547.0;RED
474;-800.0;220.0;22547.0;GREEN
367;-180.0;200.0;22547.0;GREEN
477;-200.0;220.0;22547.0;RED
270;400.0;180.0;22547.0;GREEN
480;400.0;220.0;22547.0;RED
175;-420.0;400.0;22547.0;RED
376;-380.0;400.0;22547.0;GREEN
379;220.0;400.0;22547.0;RED
488;200.0;420.0;22547.0;GREEN
382;820.0;400.0;22547.0;RED
491;800.0;420.0;22547.0;GREEN
282;-800.0;580.0;22547.0;GREEN
384;-780.0;600.0;22547.0;RED
285;-200.0;580.0;22547.0;RED
387;-180.0;600.0;22547.0;GREEN
390;420.0;600.0;22547.0;RED
498;400.0;620.0;22547.0;GREEN
113;-420.0;-800.0;22567.0;RED
314;-380.0;-800.0;22567.0;GREEN
116;180.0;-800.0;22567.0;GREEN
317;220.0;-800.0;22567.0;RED
210;800.0;-820.0;22567.0;GREEN
320;820.0;-800.0;22567.0;RED
212;-800.0;-620.0;22567.0;GREEN
323;-780.0;-600.0;22567.0;RED
125;-220.0;-600.0;22567.0;GREEN
326;-180.0;-600.0;22567.0;RED
128;380.0;-600.0;22567.0;RED
429;400.0;-580.0;22567.0;GREEN
225;-400.0;-420.0;22567.0;RED
336;-380.0;-400.0;22567.0;GREEN
138;180.0;-400.0;22567.0;RED
339;220.0;-400.0;22567.0;GREEN
342;820.0;-400.0;22567.0;RED
442;800.0;-380.0;22567.0;GREEN
344;-780.0;-200.0;22567.0;RED
455;-800.0;-180.0;22567.0;GREEN
146;-220.0;-200.0;22567.0;RED
237;-200.0;-220.0;22567.0;GREEN
149;380.0;-200.0;22567.0;GREEN
350;420.0;-200.0;22567.0;RED
257;-400.0;-20.0;22567.0;GREEN
356;-380.0;0.0;22567.0;RED
158;180.0;0.0;22567.0;GREEN
260;200.0;-20.0;22567.0;RED
263;800.0;-20.0;22567.0;RED
362;820.0;0.0;22567.0;GREEN
364;-780.0;200.0;22567.0;GREEN
474;-800.0;220.0;22567.0;RED
166;-220.0;200.0;22567.0;GREEN
367;-180.0;200.0;22567.0;RED
169;380.0;200.0;22567.0;GREEN
270;400.0;180.0;22567.0;RED
275;-400.0;380.0;22567.0;GREEN
